DATE,CSUSHPINSA
2009-08-01,150.668
2009-09-01,149.627
2009-10-01,148.584
2009-11-01,147.939
2009-12-01,146.664
2010-01-01,145.003
2010-02-01,143.054
2010-03-01,143.597
2010-04-01,145.404
2010-05-01,147.04
2010-06-01,147.705
2010-07-01,147.565
2010-08-01,146.43
2010-09-01,144.611
2010-10-01,143.13299999999998
2010-11-01,141.82299999999998
2010-12-01,140.63299999999998
2011-01-01,139.041
2011-02-01,137.737
2011-03-01,137.789
2011-04-01,139.16
2011-05-01,140.694
2011-06-01,141.946
2011-07-01,142.343
2011-08-01,141.786
2011-09-01,140.17
2011-10-01,138.412
2011-11-01,136.668
2011-12-01,135.16899999999998
2012-01-01,134.16899999999998
2012-02-01,133.998
2012-03-01,135.865
2012-04-01,138.471
2012-05-01,141.048
2012-06-01,143.17
2012-07-01,144.283
2012-08-01,144.707
2012-09-01,144.359
2012-10-01,143.969
2012-11-01,143.96200000000002
2012-12-01,143.869
2013-01-01,144.313
2013-02-01,145.162
2013-03-01,147.961
2013-04-01,150.969
2013-05-01,153.859
2013-06-01,156.428
2013-07-01,158.289
2013-08-01,159.39700000000002
2013-09-01,159.675
2013-10-01,159.55700000000002
2013-11-01,159.364
2013-12-01,159.281
2014-01-01,159.37
2014-02-01,159.873
2014-03-01,161.19
2014-04-01,162.97
2014-05-01,164.685
2014-06-01,166.215
2014-07-01,167.139
2014-08-01,167.453
2014-09-01,167.24400000000003
2014-10-01,166.912
2014-11-01,166.66
2014-12-01,166.46200000000002
2015-01-01,166.252
2015-02-01,166.63400000000001
2015-03-01,168.09
2015-04-01,169.97
2015-05-01,171.85
2015-06-01,173.452
2015-07-01,174.498
2015-08-01,174.93900000000002
2015-09-01,175.046
2015-10-01,175.051
2015-11-01,175.143
2015-12-01,175.11700000000002
2016-01-01,175.03799999999998
2016-02-01,175.28400000000002
2016-03-01,176.605
2016-04-01,178.498
2016-05-01,180.34599999999998
2016-06-01,181.918
2016-07-01,183.021
2016-08-01,183.65900000000002
2016-09-01,183.949
2016-10-01,184.024
2016-11-01,184.237
2016-12-01,184.408
2017-01-01,184.65900000000002
2017-02-01,185.025
2017-03-01,186.53400000000002
2017-04-01,188.55
2017-05-01,190.547
2017-06-01,192.275
2017-07-01,193.52
2017-08-01,194.355
2017-09-01,194.826
2017-10-01,195.092
2017-11-01,195.457
2017-12-01,195.852
2018-01-01,196.12
2018-02-01,196.90900000000002
2018-03-01,198.578
2018-04-01,200.622
2018-05-01,202.46099999999998
2018-06-01,204.05200000000002
2018-07-01,204.96
2018-08-01,205.33700000000002
2018-09-01,205.38400000000001
2018-10-01,205.38
2018-11-01,205.11900000000003
2018-12-01,204.709
2019-01-01,204.213
2019-02-01,204.44
2019-03-01,205.78799999999998
2019-04-01,207.703
2019-05-01,209.36700000000002
2019-06-01,210.60299999999998
2019-07-01,211.354
2019-08-01,211.713
2019-09-01,211.891
2019-10-01,211.984
2019-11-01,212.123
2019-12-01,212.253
2020-01-01,212.412
2020-02-01,213.232
2020-03-01,215.21
2020-04-01,217.25799999999998
2020-05-01,218.50799999999998
2020-06-01,219.835
2020-07-01,221.59
2020-08-01,224.06900000000002
2020-09-01,226.82299999999998
2020-10-01,229.838
2020-11-01,232.34599999999998
2020-12-01,234.398
2021-01-01,236.475
2021-02-01,239.25799999999998
2021-03-01,244.25599999999997
2021-04-01,249.863
2021-05-01,255.489
2021-06-01,261.215
2021-07-01,265.553
2021-08-01,268.829
2021-09-01,271.486
2021-10-01,273.698
2021-11-01,276.07
2021-12-01,278.654
2022-01-01,282.041
2022-02-01,287.286
2022-03-01,295.117
2022-04-01,301.77299999999997
2022-05-01,306.55400000000003
2022-06-01,308.323
2022-07-01,307.13
2022-08-01,303.647
2022-09-01,300.439
2022-10-01,298.651
2022-11-01,296.836
2022-12-01,294.319
2023-01-01,292.715
2023-02-01,293.341
2023-03-01,297.127
2023-04-01,301.457
2023-05-01,305.402
2023-06-01,308.254
